Poids (kg),1,2,3,4,5,6,7,8
0.5,85.28,93.68,108,119.18,136.13,141.15,174.96,182.6
1,96.23,105.83,125.4,131.33,151.66,172.43,215.91,226.82
1.5,106.82,117.58,142.22,143.83,161.96,193.38,242.91,255.17
2,117.41,129.33,159.04,154.83,172.26,214.33,269.91,283.52
2.5,128.21,141.29,176.64,166.79,177.84,238.43,296.91,311.87
3,133.04,147.73,190.49,173.16,183.72,250.97,316.06,332.39
3.5,137.87,154.17,204.34,179.53,189.6,266.51,335.21,352.91
4,142.7,160.61,218.19,185.9,195.48,282.05,354.36,373.43
4.5,147.53,167.05,232.04,192.27,201.36,297.59,373.51,393.95
5,152.36,173.49,245.89,198.64,207.24,313.13,392.66,414.47
