"ftof_id";"field";"facet"
"1";"xc:creator";"authors_contributors"
"2";"xc:creator";"creator_author"
"3";"dcterms:creator";"authors_contributors"
"4";"dcterms:creator";"creator_author"
"5";"xc:contributor";"authors_contributors"
"6";"xc:contributor";"other_contributors"
"7";"dcterms:contributor";"authors_contributors"
"8";"dcterms:contributor";"other_contributors"
"9";"dcterms:type";"format"
"10";"xc:type007";"format"
"11";"xc:typeSMD";"format"
"12";"rdvocab:dimensions";"format"
"13";"dcterms:language";"language"
"14";"dcterms:issued";"date"
"15";"dcterms:date";"date"
"16";"xc:subject";"subject"
"17";"xc:subject";"subject_topic"
"18";"xc:subject";"classification"
"19";"dcterms:subject";"subject"
"20";"dcterms:subject";"subject_topic"
"21";"dcterms:coverage";"subject"
"22";"dcterms:spatial";"subject"
"23";"xc:coverage";"subject"
"24";"xc:spatial";"subject"
"25";"dcterms:coverage";"subject_spatial"
"26";"dcterms:spatial";"subject_spatial"
"27";"xc:coverage";"subject_spatial"
"28";"xc:spatial";"subject_spatial"
"29";"xc:type";"subject"
"31";"xc:type";"genre"
"32";"dcterms:audience";"type_of_content"
"33";"rdvocab:natureOfTheContent";"type_of_content"
"34";"rdarole:compiler";"creator_author"
"35";"rdarole:author";"creator_author"
"36";"rdarole:composer";"creator_author"
"37";"rdarole:author";"authors_contributors"
"38";"rdarole:compiler";"authors_contributors"
"39";"rdarole:composer";"authors_contributors"
"40";"rdarole:director";"authors_contributors"
"41";"rdarole:editor";"authors_contributors"
"42";"rdarole:illustrator";"authors_contributors"
"43";"rdarole:performer";"authors_contributors"
"44";"rdarole:producer";"authors_contributors"
"45";"rdarole:speaker";"authors_contributors"
"46";"rdarole:translator";"authors_contributors"
"47";"rdarole:speaker";"creator_author"
"48";"rdarole:director";"other_contributors"
"49";"rdarole:editor";"other_contributors"
"50";"rdarole:illustrator";"other_contributors"
"51";"rdarole:performer";"other_contributors"
"52";"rdarole:producer";"other_contributors"
"53";"rdarole:speaker";"other_contributors"
"54";"rdarole:translator";"other_contributors"
"55";"xc:ISO639-3LanguageName";"language"
"56";"rdvocab:dissertationOrThesesInformation";"type_of_content"
"57";"dcterms:type";"subject"
"58";"xc:temporal";"subject_temporal"
"59";"rdarole:artist";"creator_author"
"60";"xc:location";"superlocation"
