"field_id";"name";"type";"facet_id";"attribute_set_id";"is_collapsed";"weight"
"1";"creator_author";"field";"1";"0";"0";"-9"
"2";"other_contributors";"field";"1";"0";"1";"-5"
"3";"format";"field";"1";"0";"0";"-12"
"4";"language";"field";"1";"0";"0";"-11"
"5";"subject";"field";"1";"0";"1";"-8"
"6";"subject_topic";"field";"1";"0";"1";"-6"
"7";"subject_spatial";"field";"1";"0";"1";"-2"
"8";"genre";"field";"1";"0";"1";"-3"
"9";"related_resources";"field";"1";"0";"1";"-1"
"10";"type_of_content";"field";"1";"0";"1";"-4"
"11";"date";"date";"1";"1";"1";"-7"
"12";"superlocation";"field";"1";"0";"0";"-10"
